Tiempo de inicio Orden, OrdenId, ClienteId, Direccion, Tipos de productos y tiempo de coccion
1,1,1,2=0,1=3#2=2
2,2,2,2=1,1=4
3,3,3,2=2,2=1
4,4,4,3=1,3=1
5,5,5,4=1,2=4
6,6,6,1=3,3=3
7,7,7,1=2,1=1#2=3
8,8,8,1=1,2=1
9,9,9,5=1,3=1
10,10,10,3=2,1=1
11,11,11,3=3,2=2
12,12,12,2=3,3=2
13,13,13,2=4,2=1
14,14,14,2=5,3=3
15,15,15,1=3,3=2
18,16,16,1=2,2=4
19,17,17,1=1,3=1
20,18,18,5=1,1=1
21,19,19,3=2,2=2
22,20,20,3=3,3=2
23,21,21,2=3,2=1
30,22,22,2=4,3=3
32,23,23,2=5,3=2
33,24,24,3=2,2=1
34,25,25,4=2,1=2
35,26,26,1=0,3=2
36,27,27,1=1,1=4
37,28,28,1=2,1=5
40,29,29,5=2,2=2
45,30,30,3=4,3=1
46,31,31,3=5,3=2
47,32,32,2=6,2=4
48,33,33,2=7,1=3
49,34,34,2=8,3=3
50,35,35,3=3,2=1#3=1
51,36,36,4=3,1=1#2=2
52,37,37,1=3,2=1#3=2
53,38,38,6=6,2=2
54,39,39,7=1,3=1
55,40,40,7=5,3=2
56,41,41,5=2,2=4
57,42,42,3=1,1=3
58,43,43,2=3,3=3
59,44,44,2=4,2=1#3=1
60,45,45,2=5,1=1#2=2
61,46,46,3=2,3=2
62,47,47,4=2,1=4
63,48,48,1=0,1=5
64,49,49,1=1,2=2
65,50,50,1=2,3=1
66,51,51,5=2,3=2
67,52,52,3=4,1=5
68,53,53,2=3,2=2
69,54,54,3=5,3=1
70,55,55,4=5,3=2
71,56,56,1=0,2=4
72,57,57,1=1,1=3
73,58,58,1=2,3=3
74,59,59,5=2,2=1#3=1
75,60,60,3=4,1=1#2=2
76,61,61,2=3,2=1#3=2
77,62,62,3=5,2=2
78,63,63,4=5,3=1
82,64,64,1=5,3=2
83,65,65,6=8,2=4
84,66,66,2=4,3=2
87,67,67,3=6,2=1
88,68,68,4=2,2=1#3=2
89,69,69,1=0,2=2
91,70,70,1=1,3=1
92,71,71,1=2,3=2
94,72,72,5=2,2=4
95,73,73,3=4,1=3
96,74,74,2=3,3=3
97,75,75,3=5,2=1#3=1
98,76,76,4=5,3=2
99,77,77,1=0,2=4
100,78,78,4=2,1=3
101,79,79,1=0,3=3
102,80,80,1=1,2=1#3=3
103,81,81,1=2,1=1#2=4
104,82,82,5=2,1=4
105,83,83,3=4,1=5
106,84,84,2=3,2=2
107,85,85,3=5,3=1
108,86,86,4=5,3=2
109,87,87,1=0,1=4
110,88,88,1=1,1=5
111,89,89,1=2,2=2
112,90,90,5=2,3=1
113,91,91,3=4,3=2
114,92,92,2=3,2=4
115,93,93,2=8,1=3
116,94,94,3=7,3=3
117,95,95,2=5,2=1#3=1
118,96,96,3=7,1=1#2=2
119,97,97,4=7,1=3
120,98,98,1=7,2=1
121,99,99,1=1,3=1
122,100,100,7=3,2=4
123,101,101,7=4,1=3
124,102,102,1=2,3=3
125,103,103,2=1,2=1#3=3
126,104,104,3=4,1=1#2=4
127,105,105,4=2,1=4
128,106,106,1=0,1=5
129,107,107,1=1,2=2
130,108,108,1=2,3=1
131,109,109,5=2,3=2
132,110,110,3=4,1=3
133,111,111,2=3,3=3
134,112,112,3=5,2=1#3=3
135,113,113,4=5,3=1
136,114,114,1=0,3=2
137,115,115,1=1,2=4
138,116,116,1=2,1=3
139,117,117,5=2,3=3
140,118,118,3=7,2=1#3=1
141,119,119,4=7,1=1#2=2
142,120,120,1=7,1=3
143,121,121,1=1,2=1
144,122,122,7=3,3=1
155,123,123,7=4,2=4
159,124,124,1=2,1=3
162,125,125,2=1,3=3
163,126,126,3=4,3=3
164,127,127,4=2,2=1#3=1
165,128,128,1=0,1=1#2=2
166,129,129,1=1,1=3
167,130,130,1=2,2=1
168,131,131,5=2,3=1
169,132,132,3=4,2=4
170,133,133,2=3,1=3
171,134,134,3=5,3=3
172,135,135,4=5,2=1#3=3
173,136,136,1=0,1=1#2=4
174,137,137,1=1,1=4
175,138,138,1=2,1=5
176,139,139,5=2,2=2
177,140,140,3=4,3=1
178,141,141,2=3,1=5
179,142,142,2=6,2=2
180,143,143,6=2,3=1
181,144,144,1=3,3=2
182,145,145,4=4,1=3
183,146,146,3=3,3=3
184,147,147,1=3,2=1#3=3
185,148,148,2=2,1=1#2=4
186,149,149,1=2,1=4
187,150,150,2=2,2=1
188,151,151,2=1,3=1
189,152,152,2=6,2=4
190,153,153,6=2,3=3
191,154,154,1=3,1=1#2=3
192,155,155,4=4,2=1
193,156,156,3=3,3=1
194,157,157,1=3,1=1
195,158,158,2=2,2=2
196,159,159,2=1,3=2
197,160,160,2=6,2=1
198,161,161,6=3,3=1
199,162,162,1=4,2=4
200,163,163,4=5,3=3
201,164,164,3=4,1=1#2=3
202,165,165,1=4,2=1
203,166,166,2=2,3=1
204,167,167,4=3,1=3
205,168,168,3=2,2=1
206,169,169,1=2,3=1
