Tiempo de inicio Orden, OrdenId, ClienteId, Direccion, Tipos de productos y tiempo de coccion
1,1,1,2=0,1=3#2=2
2,2,2,2=1,1=4
3,3,3,2=2,2=1
4,4,4,3=1,3=1
5,5,5,4=1,2=4
6,6,6,1=3,3=3
7,7,7,1=2,1=1#2=3
8,8,8,1=1,2=1
9,9,9,5=1,3=1
10,10,10,3=2,1=1
11,11,11,3=3,2=2
12,12,12,2=3,3=2
13,13,13,2=4,2=1
14,14,14,2=5,3=3
15,15,15,3=2,3=2
18,16,16,4=2,2=2
19,17,17,1=0,1=1
20,18,18,1=1,3=1
21,19,19,1=2,1=2
22,20,20,5=2,1=3
23,21,21,3=4,2=1
30,22,22,3=5,3=1
32,23,23,2=6,3=0
33,24,24,2=7,2=3
34,25,25,2=8,1=2
35,26,26,3=3,3=2
36,27,27,4=3,1=4
37,28,28,1=3,1=5
40,29,29,6=6,2=2
45,30,30,7=1,3=1
46,31,31,7=5,3=2
47,32,32,5=2,2=4
48,33,33,3=1,1=3
49,34,34,6=3,3=3
50,35,35,4=2,2=1#3=1
51,36,36,1=4,1=1#2=2
52,37,37,2=5,2=1#3=2
53,38,38,3=4,1=1#2=3
54,39,39,2=9,2=1#3=3
55,40,40,3=4,1=1#2=4
56,41,41,4=4,2=1#3=4
57,42,42,1=4,1=1#2=5
58,43,43,6=7,2=1#3=5
59,44,44,7=9,2=3
60,45,45,7=13,1=2
61,46,46,5=3,3=2
62,47,47,3=2,1=4
63,48,48,6=4,1=5
64,49,49,4=3,2=2
