Reloj: Tiempo,Pedido: Pedido,Tipo de producto: Tipo de producto,Estado: Estado,Local: Local,Repartidor: Repartidor
Order 1 generated, starting time: 1
Order 2 generated, starting time: 2
Order 3 generated, starting time: 3
Order 4 generated, starting time: 4
Order 5 generated, starting time: 5
Order 6 generated, starting time: 6
Order 7 generated, starting time: 7
Order 8 generated, starting time: 8
Order 9 generated, starting time: 9
Order 10 generated, starting time: 10
Order 11 generated, starting time: 11
Order 12 generated, starting time: 12
Order 13 generated, starting time: 13
Order 14 generated, starting time: 14
Order 15 generated, starting time: 15
Order 16 generated, starting time: 18
Order 17 generated, starting time: 19
Order 18 generated, starting time: 20
Order 19 generated, starting time: 21
Order 20 generated, starting time: 22
Order 21 generated, starting time: 23
Order 22 generated, starting time: 30
Order 23 generated, starting time: 32
Order 24 generated, starting time: 33
Order 25 generated, starting time: 34
Order 26 generated, starting time: 35
Order 27 generated, starting time: 36
Order 28 generated, starting time: 37
Order 29 generated, starting time: 40
Order 30 generated, starting time: 45
Order 31 generated, starting time: 46
Order 32 generated, starting time: 47
Order 33 generated, starting time: 48
Order 34 generated, starting time: 49
Order 35 generated, starting time: 50
Order 36 generated, starting time: 51
Order 37 generated, starting time: 52
Order 38 generated, starting time: 53
Order 39 generated, starting time: 54
Order 40 generated, starting time: 55
Order 41 generated, starting time: 56
Order 42 generated, starting time: 57
Order 43 generated, starting time: 58
Order 44 generated, starting time: 59
Order 45 generated, starting time: 60
Order 46 generated, starting time: 61
Order 47 generated, starting time: 62
Order 48 generated, starting time: 63
Order 49 generated, starting time: 64
Order 50 generated, starting time: 65
Order 51 generated, starting time: 66
Order 52 generated, starting time: 67
Order 53 generated, starting time: 68
Order 54 generated, starting time: 69
Order 55 generated, starting time: 70
Order 56 generated, starting time: 71
Order 57 generated, starting time: 72
Order 58 generated, starting time: 73
Order 59 generated, starting time: 74
Order 60 generated, starting time: 75
Order 61 generated, starting time: 76
Order 62 generated, starting time: 77
Order 63 generated, starting time: 78
Order 64 generated, starting time: 82
Order 65 generated, starting time: 83
Order 66 generated, starting time: 84
Order 67 generated, starting time: 87
Order 68 generated, starting time: 88
Order 69 generated, starting time: 89
Order 70 generated, starting time: 91
Order 71 generated, starting time: 92
Order 72 generated, starting time: 94
Order 73 generated, starting time: 95
Order 74 generated, starting time: 96
Order 75 generated, starting time: 97
Order 76 generated, starting time: 98
Order 77 generated, starting time: 99
Order 78 generated, starting time: 100
Order 79 generated, starting time: 101
Order 80 generated, starting time: 102
Order 81 generated, starting time: 103
Order 82 generated, starting time: 104
Order 83 generated, starting time: 105
Order 84 generated, starting time: 106
Order 85 generated, starting time: 107
Order 86 generated, starting time: 108
Order 87 generated, starting time: 109
Order 88 generated, starting time: 110
Order 89 generated, starting time: 111
Order 90 generated, starting time: 112
Order 91 generated, starting time: 113
Order 92 generated, starting time: 114
Order 93 generated, starting time: 115
Order 94 generated, starting time: 116
Order 95 generated, starting time: 117
Order 96 generated, starting time: 118
Order 97 generated, starting time: 119
Order 98 generated, starting time: 120
Order 99 generated, starting time: 121
Order 100 generated, starting time: 122
Order 101 generated, starting time: 123
Order 102 generated, starting time: 124
Order 103 generated, starting time: 125
Order 104 generated, starting time: 126
Order 105 generated, starting time: 127
Order 106 generated, starting time: 128
Order 107 generated, starting time: 129
Order 108 generated, starting time: 130
Order 109 generated, starting time: 131
Order 110 generated, starting time: 132
Order 111 generated, starting time: 133
Order 112 generated, starting time: 134
Order 113 generated, starting time: 135
Order 114 generated, starting time: 136
Order 115 generated, starting time: 137
Order 116 generated, starting time: 138
Order 117 generated, starting time: 139
Order 118 generated, starting time: 140
Order 119 generated, starting time: 141
Order 120 generated, starting time: 142
Order 121 generated, starting time: 143
Order 122 generated, starting time: 144
Order 123 generated, starting time: 155
Order 124 generated, starting time: 159
Order 125 generated, starting time: 162
Order 126 generated, starting time: 163
Order 127 generated, starting time: 164
Order 128 generated, starting time: 165
Order 129 generated, starting time: 166
Order 130 generated, starting time: 167
Order 131 generated, starting time: 168
Order 132 generated, starting time: 169
Order 133 generated, starting time: 170
Order 134 generated, starting time: 171
Order 135 generated, starting time: 172
Order 136 generated, starting time: 173
Order 137 generated, starting time: 174
Order 138 generated, starting time: 175
Order 139 generated, starting time: 176
Order 140 generated, starting time: 177
Order 141 generated, starting time: 178
Order 142 generated, starting time: 179
Order 143 generated, starting time: 180
Order 144 generated, starting time: 181
Order 145 generated, starting time: 182
Order 146 generated, starting time: 183
Order 147 generated, starting time: 184
Order 148 generated, starting time: 185
Order 149 generated, starting time: 186
Order 150 generated, starting time: 187
Order 151 generated, starting time: 188
Order 152 generated, starting time: 189
Order 153 generated, starting time: 190
Order 154 generated, starting time: 191
Order 155 generated, starting time: 192
